Close,Volume,12-Month Inflation,Mean,Unemployment,Interest rates
115.0,2900,6.8,151.2676,4.9,10.5
120.0,20300,6.8,151.1647,4.9,10.5
126.0,1500,6.8,151.0588,4.9,10.5
122.0,145400,6.8,150.8588,4.9,10.5
126.25,1200,6.8,150.7029,4.9,10.5
126.25,1200,6.8,150.7029,4.9,10.5
126.0,1400,6.92,150.5588,4.9,10.5
126.0,1400,6.92,150.5588,4.9,10.5
128.0,10900,6.92,150.4588,4.9,10.5
128.0,10900,6.92,150.4588,4.9,10.5
128.0,10900,6.92,150.4588,4.9,10.5
127.0,16900,6.92,150.3618,4.9,10.5
127.0,16900,6.92,150.3618,4.9,10.5
127.0,16900,6.92,150.3618,4.9,10.5
127.0,16900,6.92,150.3618,4.9,10.5
132.0,7900,6.92,150.2735,4.9,10.5
132.0,7900,6.92,150.2735,4.9,10.5
132.0,7900,6.92,150.2735,4.9,10.5
132.0,600,6.92,150.1706,4.9,10.5
132.0,600,6.92,150.1706,4.9,10.5
133.5,3300,6.92,150.0735,4.9,10.5
131.0,3300,6.92,149.9441,4.9,10.5
131.0,3300,6.92,149.9441,4.9,10.5
131.0,3300,6.92,149.9441,4.9,10.5
131.0,2600,6.92,149.7882,4.9,10.5
131.0,2600,6.92,149.7882,4.9,10.5
131.0,2600,6.92,149.7882,4.9,10.5
135.0,1700,6.92,149.5824,4.9,10.5
135.0,1700,6.92,149.5824,4.9,10.5
135.0,1700,6.92,149.5824,4.9,10.5
135.0,1700,6.92,149.5824,4.9,10.5
135.0,1700,6.92,149.5824,4.9,10.5
130.0,2300,6.92,149.4382,4.9,10.5
128.0,1100,6.92,149.2706,4.9,10.5
128.0,1100,6.92,149.2706,4.9,10.5
128.0,1100,6.92,149.2706,4.9,10.5
130.0,4400,6.92,149.1324,4.9,10.5
130.0,4400,6.92,149.1324,4.9,10.5
130.0,4400,6.92,149.1324,4.9,10.5
130.0,4400,6.92,149.1324,4.9,10.5
130.0,600,6.92,149.0059,4.9,10.5
131.0,283900,6.92,148.8824,4.9,10.5
131.0,283900,6.92,148.8824,4.9,10.5
131.0,283900,6.92,148.8824,4.9,10.5
126.0,800,6.92,148.7941,4.9,10.5
120.0,6800,6.92,148.6882,4.9,10.5
120.0,6800,6.92,148.6882,4.9,10.5
131.5,3900,6.92,148.5647,4.9,10.5
132.0,600,6.92,148.45,4.9,10.5
132.0,600,6.92,148.45,4.9,10.5
132.0,600,6.92,148.45,4.9,10.5
132.0,600,6.92,148.45,4.9,10.5
132.0,600,6.92,148.45,4.9,10.5
132.0,600,6.92,148.45,4.9,10.5
132.0,8900,6.92,148.3176,4.9,10.5
132.0,8900,6.92,148.3176,4.9,10.5
131.0,2500,6.92,148.2015,4.9,10.5
131.0,2500,6.92,148.2015,4.9,10.5
131.0,2500,6.92,148.2015,4.9,10.5
131.0,2500,6.92,148.2015,4.9,10.5
131.0,2500,6.92,148.2015,4.9,10.5
131.0,1000,6.78,148.1,4.9,10.5
131.0,1000,6.78,148.1,4.9,10.5
131.0,1000,6.78,148.1,4.9,10.5
131.0,1000,6.78,148.1,4.9,10.5
131.0,1500,6.78,147.9412,4.9,10.5
131.0,1500,6.78,147.9412,4.9,10.5
131.0,1500,6.78,147.9412,4.9,10.5
131.0,1500,6.78,147.9412,4.9,10.5
131.0,1500,6.78,147.9412,4.9,10.5
130.0,7000,6.78,147.8088,4.9,10.5
130.0,7000,6.78,147.8088,4.9,10.5
130.0,31100,6.78,147.6412,4.9,10.5
130.0,31100,6.78,147.6412,4.9,10.5
130.0,1900,6.78,147.4706,4.9,10.5
130.0,1800,6.78,147.3559,4.9,10.5
130.0,1800,6.78,147.3559,4.9,10.5
130.0,1800,6.78,147.3559,4.9,10.5
