text,date,No_of_likes,No_of_tweets
"Favorited ""Protege Effect Vol 40 - Amapiano Location Tusker Oktoberfest"" https://www.mixcloud.com/djprotegekenya/protege-effect-vol-40-amapiano-location-tusker-oktoberfest/ by @DjProtegeKenya",2022-12-30 09:51:00+00:00,1,0
"Tuned into ""Protege Effect Vol 40 - Amapiano Location Tusker Oktoberfest"" by @DjProtegeKenya at https://www.mixcloud.com/djprotegekenya/protege-effect-vol-40-amapiano-location-tusker-oktoberfest/ #nowplaying",2022-12-22 16:48:00+00:00,0,0
"Just loved ""Protege Effect Vol 40 - Amapiano Location Tusker Oktoberfest"" by @DjProtegeKenya on @mixcloud https://www.mixcloud.com/djprotegekenya/protege-effect-vol-40-amapiano-location-tusker-oktoberfest/",2022-12-17 15:20:00+00:00,0,0
"#nowplaying @DjProtegeKenya presents ""Protege Effect Vol 40 - Amapiano Location Tusker Oktoberfest"" at https://www.mixcloud.com/djprotegekenya/protege-effect-vol-40-amapiano-location-tusker-oktoberfest/",2022-12-17 12:46:00+00:00,0,0
"New show ""Protege Effect Vol 40 - Amapiano Location Tusker Oktoberfest"" up now at https://www.mixcloud.com/djprotegekenya/protege-effect-vol-40-amapiano-location-tusker-oktoberfest/ Check it out now!",2022-12-17 09:58:00+00:00,0,0
Protege Effect Vol 40 - Amapiano Location Tusker Oktoberfest dlvr.it/SfWF64,2022-12-17 08:40:00+00:00,4,0
"Are you following up on this story? Comment down below.  In other News, The final Tusker oKtoberfest went down this past weekend. This event also unveiled the finalists for the Tusker Nexters that has been happening during the last couple of Months.",2022-11-04 08:15:00+00:00,0,1
"#KultureNews @ProducerVincB insists that @ericomondi_ stance on Kenyan music is logical,if one were to take the message keenly. Some artists & fans though, are not happy over the remarks the comedian made about Tusker Oktoberfest.",2022-11-02 11:37:00+00:00,1,0
Seems like ni mimi pekee yangu sikuenda Tusker Oktoberfest . Ni Uzee ama uzembe? 😒🤣,2022-10-31 13:13:00+00:00,2,1
Tusker Oktoberfest was great this year. They ready outdid themselves this round.,2022-10-31 12:31:00+00:00,4,0
Hadi REMA haikushika venye TUSKER OKTOBERFEST ilishika @TuskerLager,2022-10-31 11:48:00+00:00,1,0
"#KultureNews @MungaDomani is teasing the release of a new album. He did this, after thanking the fans that came out to watch him and Wakadinali yesterday during the Tusker Oktoberfest. It seems he would like to show his sense of gratitude by putting out new music .",2022-10-31 11:22:00+00:00,7,0
Mbona si Tusker book of world records🤔🤔 #Oktoberfest,2022-10-31 06:51:00+00:00,1,0
5.@Meta to update terms as at Jan 2023 to allow sharing of info.-when need be-with KRA and government agencies   6.@poa_internet have a brand activation as it rolls out its services in Ngong and Rongai 7. @EABL_PLC holds Tusker Oktober Fest at Ngong racecourse #cimnetworkkenya,2022-10-30 22:48:00+00:00,3,1
"Tupo site!! This weekend with Tusker Oktoberfest 2nd day hapa Ngong Racecourse with live performance form Nyashinski together with an exciting stagefull 3 days party, Get your Oktoba Fest tickets from bit.ly/Oktobafest_Tic… @TuskerLager #TuskerOktobafest",2022-10-30 18:10:00+00:00,1,0
Pick lessons.. Tusker Oktoberfest in Kenya,2022-10-30 17:12:00+00:00,19,2
Nairobi babes showed no mercy The fits at tusker Oktoberfest were pure 🔥  Plus when did white  air force and white  all star replace white bata Ngoma?,2022-10-30 17:11:00+00:00,0,0
Good vibes @clubdeposh Tala last night. Shukran sana. Leo tupatane: 1. Tusker Oktoberfest-Ngong RaceCourse 2. Vivid Square-Kiambu Town 3. Aroma Lounge-Ruaka @babadedereggae live on rotation. #BabaDedeReggaeTakingOver‼️‼️🚦💥🔥✅ Link up,2022-10-30 12:13:00+00:00,7,0
Good vibes @clubdeposh Tala last night. Shukran sana. Leo tupatane: 1. Tusker Oktoberfest-Ngong RaceCourse 2. Vivid Square-Kiambu Town 3. Aroma Lounge-Ruaka @babadedereggae live on rotation. #BabaDedeReggaeTakingOver‼️‼️🚦💥🔥✅ Link up,2022-10-30 12:13:00+00:00,3,0
Good vibes @clubdeposh Tala last night. Shukran sana. Leo tupatane: 1. Tusker Oktoberfest-Ngong RaceCourse 2. Vivid Square-Kiambu Town 3. Aroma Lounge-Ruaka @babadedereggae live on rotation. #BabaDedeReggaeTakingOver‼️‼️🚦💥🔥✅ Link up,2022-10-30 12:13:00+00:00,7,0
Good vibes @clubdeposh Tala last night. Shukran sana. Leo tupatane: 1. Tusker Oktoberfest-Ngong RaceCourse 2. Vivid Square-Kiambu Town 3. Aroma Lounge-Ruaka @babadedereggae live on rotation. #BabaDedeReggaeTakingOver‼️‼️🚦💥🔥✅ Link up,2022-10-30 12:12:00+00:00,7,0
Tusker Oktoberfest day two hio ilikua one for the books.🔥,2022-10-30 10:24:00+00:00,13,0
Kwani the artists who were performing at Tusker Oktoberfest hawakulipwa? What was that lip syncing and playback nonsense jameni?,2022-10-30 10:16:00+00:00,2,2
Tusker Oktoberfest…you out did yourself 😌😌,2022-10-30 09:04:00+00:00,1,1
If you haven't been to tusker oktoberfest please make efforts and show up today. Everyone better experience this set,2022-10-30 08:44:00+00:00,3,0
"Tupo site!! This weekend with Tusker Oktoberfest 2nd day hapa Ngong Racecourse with live performance form Khaligraph together with an exciting stagefull 3 days party, Get your Oktoba Fest tickets from bit.ly/Oktobafest_Tic… @TuskerLager #TuskerOktobafest",2022-10-29 18:51:00+00:00,3,0
"Tuko sherehe ready this weekend with Tusker Oktoberfest 2nd day @ Ngong Racecourse with live performance form Khaligraph together with an exciting stagefull 3 days party, Get your Oktoba Fest tickets from bit.ly/Oktobafest_Tic @TuskerLager #TuskerOktobafest",2022-10-29 18:24:00+00:00,4,0
"Tuko sherehe ready this weekend with Tusker Oktoberfest 2nd day @ Ngong Racecourse with live performance form Khaligraph together with an exciting stagefull 3 days party, Get your Oktoba Fest tickets from bit.ly/Oktobafest_Tic… @TuskerLager #TuskerOktobafest",2022-10-29 18:12:00+00:00,3,0
"sherehe ready this weekend with Tusker Oktoberfest @ Ngong Racecourse enjoy Tusker cider while having fun with an exciting stagefull 3 days party, @Kewanja_  Get your tickets today, through this link :  bit.ly/3FriXa6 @TuskerCider #WeLiveForTaste #TuskerOktobafest",2022-10-29 15:15:00+00:00,4,0
@TuskerCider Guys! Tusker Oktober Fest @ Ngong Racecourse is today & tomorrow. There's a chance for you to sample & enjoy unique rich taste of Tusker Cider. Guys! Get your tickets through this link :  https://bit.ly/3FriXa6 #TuskerOktobafest #WeLiveForTaste @AdjaxiB @MUMANGI_,2022-10-29 13:20:00+00:00,6,1
"Tuko sherehe ready this weekend with Tusker Oktoberfest 2nd day @ Ngong Racecourse with live performance form Khaligraph together with an exciting stagefull 3 days party, Get your Oktoba Fest tickets from https://bit.ly/Oktobafest_TicketSasa @TuskerLager #TuskerOktobafest",2022-10-29 12:50:00+00:00,3,0
