text,date,No_of_likes,No_of_tweets
"Guys need to know that there is a Liquor Store at EABL Ngumba area selling legit Drinks, Chrome included. Get from the Source or even SuperMarkets.",2023-06-29 18:37:00+00:00,4,0
Watu wangu wa chrome msikunywe sumu at ni cheap. Come to Mabatini  We only get from @EABL_PLC liscenced suppliers.,2023-06-28 13:45:00+00:00,1,0
KBL of EABL stopped production of CHROME GIN two years ago.  Pia GILBEYS ingine you drink and be holding your head the whole wknd and puking. Mtakufa!  @EABL_PLC @GilbeysKe,2023-06-28 12:46:00+00:00,0,0
@EABL_PLC have you guys changed the chrome gin's bottle back to the original bottle???,2023-06-24 15:31:00+00:00,0,0
@EABL_PLC have gone back to the old packaging of Chrome Gin ama kitaniramba?,2023-06-22 13:54:00+00:00,0,0
"1 EABL beer is 300. Most will prefer quarters. Chrome, gilbeys, konyagi etc.",2023-06-21 15:35:00+00:00,1,0
"This is an eabl certified distributor. Usinunue kwa chrome bro, try them",2023-06-12 04:49:00+00:00,0,1
"EABL inafaa kupea Gesh wa Vasha na hiyo squad yao  ya Spider Gang gig ya Chrome Vodka, hao waseeh ndo the real consumers na wameitumia kwa video zao zote",2023-05-27 16:20:00+00:00,77,3
Manze kuna chrome nimekunywa but naummwa na kichwa mbaya  Kwanu chrome imekuwa changaa @EABL_PLC,2023-05-24 21:21:00+00:00,2,0
No they aren’t ! Just like EABL “rebranded “ Chrome Gin .. everyone says the current gin tastes better than the other green one .,2023-05-03 14:55:00+00:00,0,1
"I thought that was fake news and eabl made an official statement ... Im not disputing theres counterfeit liquor thats a national scourge im just saying the liquor being sold io yuwekwa all sorts of things ,rats whatever thats different ,chrome ndio inaekwa picha ya rao sasa ama?",2023-04-18 05:52:00+00:00,0,1
Uko confident na EABL is running Chrome adverts on SM and billboards😂,2023-04-14 13:15:00+00:00,3,3
REMINDER 🔔 EABL stopped production of Chrome,2023-04-14 13:05:00+00:00,1,0
"did you know EABL stopped producing Chrome Gin last year but 1,huku nje mnakunywa nini",2023-04-08 05:43:00+00:00,0,1
"ati Io chrome ni Kal,, Ii ni kama eabl walieka ethanol mingi kumbe ni kiambu breweries company",2023-03-26 12:16:00+00:00,0,0
EABL walisema they stopped producing Chrome Gin a year ago Hii mnakunywanga sijui mnatoa wapi,2023-03-11 11:48:00+00:00,0,0
"Nivea for men 400 ml is now more expensive than chrome 750ml.  Am sorry but ukiskia nikinuka eabl instead of Nivea asubuhi just understand priiiissss, jeez",2023-03-07 13:17:00+00:00,3,0
"EABL does have a store at their main factory in Ruaraka where they sell all their products at cheaper prices, alcohol is cheaper than retail like a quarter chrome goes for 205 instead of 240 , na mzinga yake ni 550 instead of 650 . 🤷🏿‍♂️🤷🏿‍♂️🤷🏿‍♂️",2023-02-28 03:25:00+00:00,3,1
"Haa! mi tangu nione report ya eabl ikikataa haimanufacture chrome nilingizia,but smallsmall portion si mbaya we all gonna die",2023-02-21 03:50:00+00:00,0,0
Has EABL Discontinued the Chrome Gin Brand? https://pigafirimbi.africauncensored.online/eabl-discontinued-chrome-gin-check/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,2023-01-15 02:56:00+00:00,0,0
"...@chapatimistress akuwe kwa site kumwangalia asioverdo 😁. Then mizinga zikuwe mingi courtsey of @Chrome_KE , @EABL_PLC , @GeneralmeakinsK , na wengineo. Walevi wakitaka drinking competitions wapewe. Wanaojiaminia FIFA wakuje ready for tournaments. Wale wa pool...",2023-01-14 16:16:00+00:00,3,1
