text,date,No_of_likes,No_of_tweets
"The key driver to the forecasted stellar growth in Tanzania is the vibrancy of the Serengeti Brands (+19% y/y in FY20 and +12% y/y in FY21), coupled with EABL’s increased stake in Serengeti Breweries Limited (SBL) that promises more returns in the future. https://sokodirectory.com/2021/09/eabl-share-to-hit-ksh-207-5-is-this-the-right-time-to-buy/",2021-09-22 10:30:00+00:00,0,0
"Kweny report launch ya EABL serengeti, dada @CarolNdosi as moderator aliuliza kuhusu mchango wa academia ktk kilimo,  prof. Ngowi alikubali kwamb soft skills inahtjk zaidi kukuza iyo kilimo, ni wakat ss kuwekea mkazo soft skill km kijana.",2021-09-06 19:11:00+00:00,2,0
"Just after their counterparts which are all under @EABL_PLC Kenya Breweries and Serengeti Breweries did so yesterday, @UgandaBreweries is launching their Sustainability Report today #UBLGrowingUganda #UBLAt75",2021-09-01 07:22:00+00:00,3,1
Join me on the 31st of August as we launch the EABL sustainability report 2020 by Serengeti Breweries highlighting our progress to support communities in Tanzania & East Africa. You can participate virtually by registering through the link below: https://us02web.zoom.us/webinar/register/WN_dnd73r4rSqKvJk2ig_t_OQ,2021-08-30 13:28:00+00:00,0,0
"He serves as Managing Director (MD) at Serengeti Breweries Ltd (SBL) in Tanzania, This company is also part @EABL_PLC  and the wider Diageo Family. He has been in that position since July 2019 after serving as UBL MD from August 2016 to July 2019.  #UBLGrowingUganda #UBLAt75",2021-08-30 12:53:00+00:00,0,1
Some Brilliant minds you should expect to hear from 👇  Jane Karuku - Group MD for EABL. She is also a member of the EABL Board & former MD for Kenya Breweries Ltd - KBL.  @Markocitti - MD at Serengeti Breweries Ltd (SBL) in TZ. SBL is part of @EABL_PLC & Diageo.  #UBLat75,2021-08-30 08:20:00+00:00,4,1
It's is well know that Serengeti Breweries is part of @EABL_PLC and the wider Diageo Family  With his strength in commercial and operational experience this enabled him to successfully develop a robust distribution network in South Africa  #UBLAt75 #UBLGrowingUganda,2021-08-30 07:02:00+00:00,10,0
.@Markocitti currently serves as Managing Director at Serengeti breweries Ltd (SBL) in TZ. SBL is part of @EABL_PLC & the wider Diageo Family.He has been in that position since July 2019 after serving as @UgandaBreweries MD from August 2016 to July 2019,2021-08-30 07:01:00+00:00,11,1
Join me as we lauch the EABL Sustainability report 2020 By Serengeti Breweries Limited (SBL) -   Mark Ocitti- Managing Director- SBL,2021-08-29 14:56:00+00:00,81,1
"#UBLat75 2/2-Thread @Markocitti is the Managing Director of Serengeti Breweries Limited, a Diageo company. Prior to this, he served as Managing Director of @UgandaBreweries from 2016 to 2019. #UBLGrowingUganda @EABL_PLC @KenyaBreweries @JackieTaha @MbuguaAlvin @StKyamutetera",2021-08-29 09:21:00+00:00,9,0
The EABL Sustainability report 2020 by Serengeti Breweries Limited ( SBL) on 31st August,2021-08-29 08:01:00+00:00,1,0
"📍 Dar es Salaam  Mr. Geoffrey Kirenga, SAGCOT CEO will be speaking at the upcoming forum to launch the East Africa Breweries Ltd. (EABL) sustainability report 2020 by Serengeti Breweries Ltd. (SBL) scheduled for 31st August, 2021.   #savethedate",2021-08-27 12:57:00+00:00,17,0
Join us on 31st Aug from 8 am-10 am as we launch for Serengeti Breweries Limited EABL sustainability report 2020; Crafting A Sustainable Future will highlight its achievements in promoting community development in Tanzania and East Africa.,2021-08-27 08:10:00+00:00,0,0
Join me as we launch the EABL sustainability report 2020 by Serengeti Breweries Limited (SBL) on 31st August.,2021-08-27 05:21:00+00:00,24,0
"Stay tuned for a Serengeti Breweries report launch On Tuesday 31st  August, Our very own Rose Funja , the MD will be contributing on a panel discussion on Building resilience in the agriculture sector through use of Information technology!! #eabl #barleyFarmers #agribusiness",2021-08-27 04:32:00+00:00,5,0
Serengeti was bought by EABL not TBL,2021-08-18 16:52:00+00:00,0,0
EABL ups its stake in Serengeti Breweries with acquisition of an additional 30% stake https://africaincmag.com/eabl-ups-its-stake-in-serengeti-breweries-with-acquisition-of-an-additional-30-stake/,2021-08-05 06:19:00+00:00,0,0
#FoodNews #FoodbusinessAfrica #FoodIndustry #FoodIndustryNews #AlcoholIndustry @EABL_PLC @KenyaBreweries @UgandaBreweries  EABL cements its ownership in Serengeti Breweries with acquisition of additional 30% stake https://www.foodbusinessafrica.com/eabl-cements-its-ownership-in-serengeti-breweries-with-acquisition-of-additional-30-stake/,2021-08-03 06:36:00+00:00,0,0
EABL now owns 85% stake of Serengeti Breweries. Good stock to look at in H2,2021-08-02 14:56:00+00:00,0,0
"EABL, majority-owned by UK’s Diageo, had disclosed plan to increase its stake in Serengeti Breweries in March 2020 after identifying the Tanzanian market as promising for growth of beer and spirits business @BD_Africa",2021-08-02 10:49:00+00:00,0,0
EABL has completed acquisition of additional 30% stake in Tanzania’s Serengeti Breweries for Kshs 6 billion. EABL now owns 85% of Serengeti Breweries,2021-08-02 10:06:00+00:00,0,0
.  .  EABL has completed acquisition of additional 30% stake in Tanzania’s Serengeti Breweries for Kshs 6 billion. EABL now owns 85% of Serengeti Breweries,2021-08-02 10:01:00+00:00,0,0
EABL has completed acquisition of additional 30% stake in Tanzania’s Serengeti Breweries for Kshs 6 billion. EABL now owns 85% of Serengeti Breweries.,2021-08-02 08:33:00+00:00,0,0
"3. EABL has completed the acquisition of an additional 30% stake in Serengeti breweries, its Tanzanian subsidiary, for Sh5.98 billion, raising its ownership to 85%. This increased stake led to an increase in EPS which we view as positive for the company.",2021-08-02 07:29:00+00:00,7,1
No final dividend is painful for income investors but you gotta be patient and look at the future...additional shares in Serengeti...Strong balance sheet! #Tanzania has all the ingredients to be a key driver of growth going forward! #EABL,2021-08-02 06:36:00+00:00,0,0
EABL has completed acquisition of additional 30% stake in Tanzania’s Serengeti Breweries for Kshs 6 billion. EABL now owns 85% of Serengeti Breweries. — @BD_Africa  @moneyacademyKE https://nitter.adminforge.de/moneyacademyKE/status/1422028127270748165?s=20  .@EABL_PLC bit.ly/2wYi7xz,2021-08-02 06:25:00+00:00,2,0
".@EABL_PLC has completed acquisition of additional 30% stake in Tanzanian subsidiary Serengeti Breweries for Kes5.98B, raising its ownership to 85% https://bit.ly/3BY5dQ2",2021-08-02 05:02:00+00:00,0,0
@EABL_PLC where can one get Serengeti Lites in Kenya.,2021-07-31 11:02:00+00:00,0,0
"@EABL_PLC #BFTWNI  Serengeti Breweries Limited (SBL) unveils over 2bn/- a fund to help bars fight against communicable diseases in Tanzania, including COVID-19 https://tinyurl.com/wcvff7a",2021-06-30 17:17:00+00:00,0,0
Wakipiga search ya products za EABL watalia tu wakikunywa Serengeti,2021-03-28 08:15:00+00:00,0,1
Nile +kbl +serengeti =eabl,2020-12-10 13:32:00+00:00,0,0
"Castle beer is a product of Serengeti Breweries. Serengeti, you know, TZ? Since Serngeti owns shares in KBL and vice-versa, EABL can allow its sale in Kenya and Serngeti can allow a Kenyan product to sell in TZ.",2020-05-02 13:34:00+00:00,0,1
"When people are scared, anxious and stressed in a crisis, great leaders show up with fortitude and heart. Today I will be speaking to the managing director of EABL Serengeti Breweries, @Markocitti on Leadership in times of crises, see you at 6pm EAT.",2020-04-08 07:54:00+00:00,19,0
EABL to increase stake in Tanzania’s Serengeti Breweries https://beverageindustrynews.com.ng/index.php/2020/04/04/eabl-to-increase-stake-in-tanzanias-serengeti-breweries/,2020-04-03 23:50:00+00:00,0,0
"EABL is expected to spend at least $18.7 million on the purchase of an extra stake in Serengeti Breweries, signaling the company’s growing faith in future prospects of the #Tanzanian market. @CAK_Kenya @lagaless #Monopoly https://bit.ly/3bFtZ9Q",2020-03-31 14:03:00+00:00,2,0
