text,date,No_of_likes,No_of_tweets
It’s A Wrap 💫 Affair. We are on tonight with @DeejayBonez254 @AjTheeDj & @sir_ric_ on the decks. Amazing offers on selected Eabl bottles.  #KingstonExperience #Saturday #Hangout #Beach Chelsea Manchester United,2023-12-30 22:17:00+00:00,2,0
It’s A Wrap 💫 Affair. We are on tonight with @DeejayBonez254 @AjTheeDj & @sir_ric_ on the decks. Amazing offers on selected Eabl bottles.  #KingstonExperience #Saturday #Hangout #Beach Chelsea Manchester United,2023-12-30 22:15:00+00:00,2,0
Watched him play recently. A lot of hype; which he is enjoying. At 6’10” he has a mismatch with pretty much everyone in the EABL. Good luck to him..,2023-12-30 19:34:00+00:00,2,0
I feel like with Tusker Ndimu Eabl now have a legit competitor for Kenya Original beers,2023-12-30 19:03:00+00:00,1,0
It’s A Wrap 💫 Affair. We are on tonight with @DeejayBonez254 @AjTheeDj & @sir_ric_ on the decks. Amazing offers on selected Eabl bottles.  #KingstonExperience #Saturday #Hangout #Beach Manchester Chelsea Mancity,2023-12-30 18:28:00+00:00,2,0
It’s A Wrap 💫 Affair. We are on tonight with @DeejayBonez254 @AjTheeDj & @sir_ric_ on the decks. Amazing offers on selected Eabl bottles.  #KingstonExperience #Saturday #Hangout #Beach Manchester Chelsea Mancity,2023-12-30 18:24:00+00:00,2,0
It’s A Wrap 💫 Affair. We are on tonight with @DeejayBonez254 @AjTheeDj & @sir_ric_ on the decks. Amazing offers on selected Eabl bottles.  #KingstonExperience #Saturday #Hangout #Beach Happy Holidays Chelsea,2023-12-30 17:34:00+00:00,1,0
".@KentCrusadersBB’s 17 year old Tim Oboh continues rapid improvement while attracting more interest from D1 schools in the US - he’s leading the EABL in efficiency while averaging 20.1 pts (4th) and 12.9 rebs (1st) on 56% shooting, helping Canterbury to 1st place in the South!",2023-12-30 15:58:00+00:00,34,1
Ewan Platford 3.4gpa 6”4 Shooting Guard/Point Guard 6”6 Wingspan Played in the EABL (🇬🇧) 10ppg 5.2rpg 2.5apg 2.2spg,2023-12-30 15:23:00+00:00,1,0
"Should be sold along with EABL products, for free.",2023-12-30 11:12:00+00:00,3,0
The guy who's in charge of Kane Extra production pale EABL needs a raise ×10,2023-12-30 08:40:00+00:00,0,0
Because they mostly took over existing locations and suppliers had factored them in their planning. They don't arm twist the likes of coke and EABL. So they don't treat all suppliers equally. Upcoming suppliers suffer most.,2023-12-30 07:55:00+00:00,0,0
"like you had anything to do with it. Eabl contracts farmers all over Kenya, they don't need anyone's permission.",2023-12-29 22:44:00+00:00,0,1
In 2023:  Safaricom market cap decreased by Kshs. 411 billion  Equity Group plunged by Kshs. 40.95 billion  EABL down by Kshs. 42.3 billion  KCB fell by Kshs. 52.06 billion  Learn which stocks to position in to potentially benefit from a reversal.  Abojani is regulated by ICIFA.,2023-12-29 18:53:00+00:00,33,4
It’s a Wrap 💫 this Saturday🔥 with 🙌🏾 @DeejayBonez254 & @AjTheeDj on the decks. Special offers on selected Eabl bottles. Spread the word and come early! ⛱️🏃🏾  #KingstonExperience #Saturday #Hangout #Chillout Mombasa Festive Season Happy Holidays,2023-12-29 16:48:00+00:00,1,0
We are cooking amazing offers for you this weekend! It’s A Wrap deals on selected Eabl products. Check flyer for more details and see you around! 😊  #KingstonExperience #SpecialOffer #Deals #Festive #ARSWHU Arsenal Mombasa Westham Happy Holidays,2023-12-29 16:19:00+00:00,1,0
"if someone hard short(betting against) safariocom EABL, KCB would have made almost double the initial investment.",2023-12-29 15:38:00+00:00,1,0
The crop of one of Makuyu Maragwa farmers who agreed to switch to Sorghum farming.  County and EABL will soon uptake this.,2023-12-29 09:45:00+00:00,340,15
BTW: what happened to Hop House 13 @EABL_PLC ?,2023-12-29 09:32:00+00:00,0,0
This week we are joined by @antony_owich founder of BND & Manhattan. He takes us through his time as an EABL Ambassador to the genesis of Nairobi's finest bars. We also get to know how lifestyle shifts contributed to his money mindset🍸  This is his story: https://youtu.be/N4FX591E9Q0,2023-12-29 08:45:00+00:00,13,0
"Josh White  5,11 Shooting Guard/Point Guard Play EABL/National League  8.9pts 3.6asts 3rbs 26 3P% 60 FT%",2023-12-28 22:49:00+00:00,1,0
Ewan Platford 3.4gpa 6”4 Shooting Guard/Point Guard 6”6 Wingspan Played in the EABL (🇬🇧) NextUpRecruitment Top 40 recruit  10ppg 5.2rpg 2.5apg 2.2spg 35% from 3,2023-12-28 21:13:00+00:00,2,0
Wueh EABL chini 😂😂😂😂,2023-12-28 20:45:00+00:00,1,0
"Mlipiga ""Alvaro"" vita lakini sisi ni nani, tunaiendea depot. Ifikie @EABL_PLC",2023-12-28 16:25:00+00:00,0,0
"If investing in stocks, sector diversification involves picking a bank [ABSA, NCBA, or Standard Chartered], an industrial [BAT, EABL], agricultural [Kapchorua, Williamson, or Sasini], energy [Kengen, Total], and Telco [Safaricom]. >>",2023-12-28 11:50:00+00:00,23,1
