text,date,No_of_likes,No_of_tweets
@TuskerLager @tuskermaltug @TuskerMaltLager @EABL_PLC #kenya #tanzania #uganda #sundan #Rwanda #Ethiopia is true ama ni story za Jaba 😂😂😂,2023-12-08 23:24:00+00:00,1,0
Bro which supermarket is this and how much is the Uganda waragi ginger and lemon flavor,2023-12-08 18:24:00+00:00,1,1
The Kenya unit of EABL contributes 64pc of the firms revenue compared to 21pc in Uganda and 15pc in Tanzania. They are going nowhere!,2023-12-08 03:11:00+00:00,2,1
"Buying three green bananas at 50bob, imagine how many you'll have to buy ndo ushibe and yet we have EABL-uganda around anyway...",2023-11-28 18:06:00+00:00,0,0
Even @EABL_PLC saw its Kenyan subsidiary report a 4% decline in full year 2023 sales while Tanzania grew by 17% and Uganda by 1%.,2023-11-24 05:29:00+00:00,19,1
"Consider this: Uganda is home to roughly 32,840 bars and pubs. East African Breweries Limited (EABL) manages to seamlessly deliver crates of beer to each establishment every week.  In contrast, our country has about 231 hospitals and dispensaries, yet despite extensive planning,",2023-11-08 04:34:00+00:00,0,1
Is EABL in Rwanda and Uganda?,2023-10-30 15:34:00+00:00,0,0
You want to Invest in Stocks but not sure which company to buy? How to start?  Do you enjoy and drink beer? Do you usually buy friends some drinks?  Then go buy some EABL Shares.    Invest in stocks. Invest in Capital Markets.  #USE #Stocks #Uganda,2023-10-10 18:16:00+00:00,35,5
EABL achieves 55% reduction in carbon emissions through investment in renewable energy https://www.foodbusinessafrica.com/eabl-achieves-remarkable-55-reduction-in-carbon-emissions-through-renewable-energy-investments/ #EastAfricanBreweriesPLC #kenya #uganda #carbonemissions #sustainability #beverageindustry #foodindustry #foodindustrynews #foodbusiness #foodbusinessafrica,2023-10-02 07:12:00+00:00,0,0
"Brewer @EABL_PLC has reported notable progress in its Net-Zero journey, by emitting 55% less carbon in the last one year attributable to the rollout of biomass steam plants in Uganda and Kenya units",2023-09-29 14:09:00+00:00,1,1
"The rollout of biomass steam plants in Uganda and Kenya has increased renewable energy use in EABL’s operations to 64.86 percent, up from 25.8 percent in 2022. #UzalendoNews https://uzalendonews.co.ke/eabl-reduces-carbon-emissions-by-55-percent/",2023-09-29 14:08:00+00:00,1,0
