text,date,No_of_likes,No_of_tweets
EABL Foundation sponsors Friends of Karura (FKF) 2022 race https://poyesa.com/kenya/archives/20051,2022-09-20 12:41:00+00:00,0,0
"[Femme Hub] EABL Foundation’s Ksh.1M Donation Towards Conservation Of Karura Forest: EABL Foundation has sponsored the Friends of Karura (FKF) 2022 race to the tune of Ksh. 1M. In its fourth year, the race will.. https://www.femmehub.com/2022/09/19/eabl-foundations-ksh-1m-donation-towards-conservation-of-karura-forest/ via @FemmeHub",2022-09-20 12:00:00+00:00,0,0
EABL Foundation donates Ksh. 1M for the conservation of Karura Forest https://hapakenya.com/2022/09/20/eabl-foundation-donates-ksh-1m-for-the-conservation-of-karura-forest/,2022-09-20 11:50:00+00:00,0,0
"Your favourite LITE brew just partnered with The EABL Foundation to bring you the Friends of Karura Forest Anniversary Race. Tell a fellow jogger-naut, and join @tuskerlite on 25th Sept 2022 for a family-friendly race followed by a Berlin Marathon watch party.",2022-09-16 12:15:00+00:00,3,0
"Your favourite LITE brew just partnered with The EABL Foundation to bring you the Friends of Karura Forest Anniversary Race. Tell a fellow jogger-naut, and join us on 25th Sept 2022 for a family-friendly race followed by a Berlin Marathon watch party @tuskerlite",2022-09-15 14:10:00+00:00,2,0
"Your favourite LITE brew just partnered with The EABL Foundation to bring you the Friends of Karura Forest Anniversary Race. Tell a fellow jogger-naut, and join us on 25th Sept 2022 for a family-friendly race followed by a Berlin Marathon watch party @tuskerlite",2022-09-14 13:24:00+00:00,1,0
EABL has one of the richest foundation in East and Central Africa,2022-09-03 12:45:00+00:00,1,0
Today is the International Day for the Conservation of the Mangrove Ecosystem.  @KeForestService @Environment_Ke @WWF_Kenya @WWFJapan @nicolerustad @mlibenson @NETFUNDkenya @EliudKipchoge @SafaricomFDN @kbasiye @veritree_ @tentree @BezosEarthFund @EABLFoundation @BigShip_CBO,2022-07-26 02:44:00+00:00,6,0
"A team of officers from EABL led by the company's sustainable and stakeholder engagement manager Waithera Mwai, Sight Saver’s Roselyne Olewe and Syngenta Foundation’s Lucy Kioko visited farmers in Homa Bay on Tuesday where they began training them on the new venture.",2022-07-21 12:13:00+00:00,0,1
"LBDA partnered with @KenyaBreweries @EABLFoundation to undertake water projects for communities in Homabay & Kisumu(Okiki Amayo,Olembo,Clementine & Magunga).This contributes towards improvement of quality of life of Kenyans through enhancing access to water & Sanitation services",2022-07-06 08:21:00+00:00,20,1
"Lol. Flagging off food after almost 60 years of ""self rule"" is a shameful act",2022-04-11 12:51:00+00:00,0,0
Flagging off the track or the truck?,2022-04-11 12:39:00+00:00,0,1
"#SafaricomFoundation launched the Pamoja Tuungane campaign, this morning at  KICC. #ImpactPhilanthropyAfrica was represented by many of our members @KCBGroup @asianfoundatio1 @KenGen_Foundatn @EABLFoundation @ProcterGamble @MKUFoundation",2022-04-11 11:06:00+00:00,1,0
I pressed  Ctrl+ Alt+Del for the first time at  the @StrathU at close to 20 years when I won @GuinnessKE @EABL_PLC scholarship now called @EABLFoundation. I was helped  to open my first email (yahoo account) by  Victoria Chepkel Mtai. Vicky  thank you so much for your kindness.,2022-03-13 14:45:00+00:00,6,1
"[Femme Hub] Zuri Awards Sponsored By EABL: East African Breweries Limited (EABL) has announced a partnership with Zuri Foundation to identify, honor, and assist unsung women who are working to make a difference i.. https://www.femmehub.com/2022/03/09/zuri-awards-sponsored-by-eabl/ via @FemmeHub",2022-03-09 16:01:00+00:00,0,0
@EABL_PLC @EABLFoundation,2022-02-09 15:31:00+00:00,0,0
Cc.  @EABL_PLC @EABLFoundation @NPSOfficial_KE,2022-02-06 14:48:00+00:00,0,0
"Brenda was initially Corporate Affairs Director for East African Breweries Ltd, leading and managing the company’s reputation agenda including stakeholder management; sustainability agenda (EABL foundation); public affairs & communication including investor & media relations.",2021-12-01 08:33:00+00:00,2,1
I hope some beautiful souls I meet in my work will meet your luck and get education and live a life like humans.,2021-11-24 16:40:00+00:00,1,0
"I teach in a small primary school in Laikipia, not far from Nanyuki town, but the kind of suffering and lack in those children leaves me numb and cold. I sometimes hate my helplessness.",2021-11-24 16:38:00+00:00,3,0
As bad as this was (it wasn’t as bad as some of my friends) because of fear being attacked at home.   I won need & merit-based World Vision Scholarship in high school and @GuinnessKE /@EABLFoundation Scholarship in @StrathU and completed undergrad & post grad this way,2021-11-24 15:46:00+00:00,100,3
"I don't call it ""drinking"", I call it a series of small donations to the EABL Foundation to support the good work they do in communities across the country 😊 https://www.eabl.com/en/sustainability/our-communities",2021-11-24 10:20:00+00:00,2,0
