text,date,No_of_likes,No_of_tweets
Enyewe Tusker Oktoberfest ilibamba ni vile tu nilipigwa ngumi.,2019-12-30 19:59:00+00:00,1,0
"Considering all factors to make an event wholesome, I feel @KenyaNights killed it on Major Lazer. Props to Tusker Oktoberfest as well! Mad planning and execution",2019-12-30 13:35:00+00:00,3,0
So of all those events to happen this year only Tusker Oktoberfest and Major Lazer were proper?,2019-12-30 08:55:00+00:00,3,1
Tusker Oktoberfest was the closest to that this year,2019-12-30 07:14:00+00:00,1,1
Events that never disappointed anyone: Tusker Oktoberfest & Ngoma Fest. See what happens when we support our own? 🤭  Please normalize purely Kenyan artiste events in the next decade. Thanks!,2019-12-24 06:08:00+00:00,17,0
We can proudly say that TUSKER OKTOBERFEST was the best event this year ama?,2019-12-23 05:38:00+00:00,561,16
Tusker Oktoberfest should be Tri-annual,2019-12-21 19:00:00+00:00,374,10
I thought the promoters learnt from the tusker Oktoberfest.. There were no the so called international acts.. The event was successful and everyone was happy.. I guess its time we stick with our own.. Support them to an extent they become international acts to other countries.,2019-12-13 15:41:00+00:00,0,0
Tusker Oktoberfest was the shit this year!,2019-12-11 17:33:00+00:00,0,0
TUsker Oktoberfest,2019-11-13 14:48:00+00:00,1,0
wamerudi sasa ni saa ya kutulia na kungoja January tuseme Kristmas ilikuwa Tusker Oktoberfest na New year ilikuwa Tatu City last weekend,2019-10-24 08:29:00+00:00,0,0
"I knew that face was familiar😂  It was during Tusker Oktoberfest, I was standing in front of her. With my height kumbe I was blocking her as she was really short I never even saw her💀  She told me if I could move, I’ve never felt so embarrassed in my life. I even walked away.💀",2019-10-22 08:00:00+00:00,11,2
"If you're wondering, Timo's stand is at the Ntinda Taxi Stage, next to Stanbic Bank branch. Pass by. He'd appreciate it.   He wears soccer jerseys, a chef's hat & a broad smile to his long shifts.  Plus, he does events too, and has done Nyege Nyege, Oktoberfest & Tusker Neon Rave",2019-10-22 07:34:00+00:00,144,13
Cheers to the weekend 🥂!! Our happy hour starts from 5pm to 9pm. Buy one get one free on our cocktails and special offers on our beers. We also have the #Oktoberfest offer going on bucket of Carlsberg for 1250ksh and Tusker buy 3 get 1 at half price! 📸 by @DineWithJemutai ⁣,2019-10-12 07:35:00+00:00,2,0
Btw I want to give you a tusker 6 pack to get your weekend going ! did you go to OKTOBER FEST ? If so what was your highlight? #NRGTransit #Tuskeroktobafest @IbuIke7 @DjNiche254,2019-10-11 14:07:00+00:00,10,2
Spot me😜 Tusker Oktoberfest was a vibe✌️,2019-10-11 13:09:00+00:00,1,0
"Booze could be an embodiment of national symbolism: On October 5th, the beer started flowing at Oktoberfest in Nairobi, a two-day festival organized by the brewers of Tusker  one of the countrys most .. https://maudhui.co.ke/booze-could-be-an-embodiment-of-national-symbolism/ via @MaudhuiHouse",2019-10-08 04:01:00+00:00,0,0
Tusker Oktoberfest was a two day festival on steroids. It was super lit! 🔥🔥 https://mpasho.co.ke/sights-scenes-sounds-tusker-oktoberfest/,2019-10-07 18:00:00+00:00,1,0
Game Changer After that Tusker Oktoberfest.  That’s what you call Corporate Money.,2019-10-07 16:09:00+00:00,12,0
"“This year’s celebrations were a great chance to bring friends and family together with Tusker Lite at the heart of all the fun and merrymaking. As always, Oktoberfest has been an exceptionally fun-filled experience”. via @nilepostnews #NBSUpdates https://bit.ly/2oo8maO",2019-10-07 07:25:00+00:00,6,0
"“This year’s celebrations were a great chance to bring friends and family together with Tusker Lite at the heart of all the fun and merrymaking. As always, Oktoberfest has been an exceptionally fun-filled experience”. #NilePostNews #NBSUpdates https://bit.ly/2oo8maO",2019-10-07 07:25:00+00:00,3,0
Tusker Oktoberfest was a two day festival on steroids. It was super lit! 🔥🔥 https://mpasho.co.ke/sights-scenes-sounds-tusker-oktoberfest/,2019-10-07 06:35:00+00:00,4,0
#oktoberfest day 2!! Glow in the dark party with Tusker Lite! #Litetheway  @tuskerlite,2019-10-06 18:55:00+00:00,1,1
Plug into the oktoberfest spirit and enjoy our spare ribs at ksh 1200 and get a free beer with your meal. Email [email protected] to order or book a table Or find us on jumia foods. #Brioche #foodart #foodie #foodstagram #oktoberfest #tusker,2019-10-06 14:00:00+00:00,1,0
I can’t believe I don’t have a photo of how Good I looked yesterday at Tusker Oktoberfest 😭😭😭,2019-10-06 09:09:00+00:00,16,0
Plug into the oktoberfest spirit and enjoy our pizza Margherita or veggie pizza at ksh 400. Email [email protected] to order or book a table Or find us on jumia foods. #Brioche #foodart #foodie #foodstagram #oktoberfest #tusker,2019-10-06 07:00:00+00:00,0,0
"""Guinness tent at the Tusker Oktoberfest""😅😅",2019-10-05 17:32:00+00:00,0,0
Plug into the oktoberfest spirit and enjoy our chicken Maffe or our spaghetti bolo for only ksh 800 and get a free beer with your meal. Email [email protected] to order or book a table Or find us on jumia foods. #Brioche #foodart #foodie #foodstagram #oktoberfest #tusker,2019-10-05 11:06:00+00:00,0,0
I want to go for tusker oktoberfest but kwa ground 😑,2019-10-05 10:20:00+00:00,1,1
Hii Tusker Oktoberfest ni kama affair ya KOT,2019-10-05 08:47:00+00:00,0,0
TUSKER OKTOBER  FEST Roysambu raves,2019-10-05 07:27:00+00:00,2,0
It’s finally here! TUSKER OKTOBERFEST 🤘🏾🤘🏾🤘🏾🤘🏾 see you there #TuskerOktobafest,2019-10-05 06:20:00+00:00,16,0
@MookhAfrica Hi mookh..just bought the tusker Oktoberfest tickets this morning but I still haven't received an email...what could be the issue?,2019-10-05 05:32:00+00:00,1,1
Tusker baridi veve alafu you balance yourself in this #Oktoberfest,2019-10-04 20:33:00+00:00,1,0
Is anyone selling a Tusker Oktoberfest ticket?,2019-10-04 17:24:00+00:00,2,1
#GuinessNightFootball Tusker Oktoberfest here we come! @Lansbrown #TeamLaCasaDePapel  Let's do this! #paidpartnershipwithdiageo,2019-10-04 10:21:00+00:00,0,0
Kesho hizo maTsho za Tusker zitakuwa kama uniform pale #Oktoberfest,2019-10-04 04:39:00+00:00,12,2
#Oktoberfest #Oktoberfest2019 #tusker #Tuskeroctoberfest #OktoberfestKampala2019 this line up is maaaaaad.. Cc @nedyparezo #SoCool #SoMooz,2019-10-03 19:30:00+00:00,6,0
#Oktoberfest @TuskerLager @Lameck452 Tusker lite,2019-10-03 18:53:00+00:00,0,0
"We have lots of amazing offers at @_CoffeeCasa: ⁣⁣ 1. 🍔🍔 @UberEats burger offers!  2. 🍻Oktoberfest offers - with Carlsberg & Tusker offers!  3. 🍗@glovo offers - On coffee, chicken wings & Milkshakes! #CoffeeCasa @EatOutKenya #Offer",2019-10-03 11:18:00+00:00,4,0
These events where tweeps attend in large numbers usually coincide with a family event I cannot afford to miss. Hata hiyo Oktoberfest ya Tusker itanipita hivyo tu,2019-10-03 11:18:00+00:00,0,0
@VybezRadioKE tent on Sunday at the Tusker Oktoberfest 😊,2019-10-03 06:33:00+00:00,0,1
Can Tusker Oktoberfest just give us the line up of the guys performing on Saturday and the guys performing on Sunday.,2019-10-03 03:44:00+00:00,1,1
Huyo hapo ni @sheilachieng on 5th pale Tusker Oktoberfest 😩😩😻😍,2019-10-02 18:41:00+00:00,4,1
Meanwhile at Catholic university...... Tusker is busy with Oktoberfest  advertising......,2019-10-02 11:09:00+00:00,0,0
