text,date,No_of_likes,No_of_tweets
RT https://nitter.catsarch.com/biasharaspot/status/679868381328052224 Business News: EABL launches Sh20m campaign bit.ly/1PhD881,2015-12-24 03:39:00+00:00,0,0
Business News: EABL launches Sh20m campaign bit.ly/1PhD881,2015-12-24 03:37:00+00:00,0,0
📷 1月15日（金）＠那覇 安里 music live fanfare -ファンファーレ 石原岳（Guiter & Light）×Takane Eabl（Modular Synth） 20:00... tmblr.co/ZHB0Fx1_U-xMF,2015-12-24 00:41:00+00:00,0,0
Fun and interractive day at EABL😀😀😀 #careerpaths https://www.instagram.com/p/_pV57bRYhp/,2015-12-23 19:25:00+00:00,0,0
"@iPleaderslaw Disappointed with the way you are conducting EABL course. Stale material, no calendar for webinars, exams etc.",2015-12-23 18:59:00+00:00,0,0
@ahmednasirlaw keroche n eabl,2015-12-23 18:42:00+00:00,0,0
"Mood---->>>EABL P.o Box 30161-00100, Nairobi",2015-12-23 18:42:00+00:00,0,0
"See drunkards, but that Jobo best be at EABL @kevo_thadon",2015-12-23 14:05:00+00:00,1,1
"EABL has no loyalty, pombe yenye nimekunywa ikimwagwa apa sahii inafika EABL offices yet bado wanaongeza bei",2015-12-23 12:45:00+00:00,0,0
#EABL shares down by 0.87 at UgShs 8777.7,2015-12-23 12:00:00+00:00,0,0
May be EABL is doing it BAT style.,2015-12-23 08:29:00+00:00,0,0
RT https://nitter.catsarch.com/biasharaspot/status/679576753610686464 Business News: EABL launches Sh20m campaign bit.ly/1PhD881,2015-12-23 08:23:00+00:00,0,0
Business News: EABL launches Sh20m campaign bit.ly/1PhD881,2015-12-23 08:18:00+00:00,0,0
"#todaysreads: ""State is scheming to shut down our operations, claims Keroche"" businessdailyafrica.com/Corp… Given the recent BAT scandal, EABL?",2015-12-23 06:13:00+00:00,0,0
Has @CocaColaAfrica managed 2destroy the Kenyan AfyaJuice. This because @GuinnessGB through eabl is now after @keroche #TrueKenyans @K24Tv,2015-12-23 04:23:00+00:00,0,0
Tragaa<3,2015-12-22 21:13:00+00:00,2,0
"Nimechukua leave from mjengo, leo tunapromotia EABL wapi?",2015-12-22 13:44:00+00:00,1,1
#EABL shares down by 2.01 at UgShs 8854.96,2015-12-22 13:30:00+00:00,0,0
"Same way BAT can is opening up now,one day Safaricom's, EABL's and all the egocentric companies will one day. Truth is like sneeze",2015-12-22 07:28:00+00:00,1,0
"Revelations that BAT bribed their way through,should just tell you how big companies operate like monopolies. Safaricom,EABL et al",2015-12-22 07:25:00+00:00,0,0
Business News: EABL launches Sh20m campaign bit.ly/1PhD881,2015-12-22 06:57:00+00:00,0,0
RT https://nitter.catsarch.com/shamranews/status/679059048734568448 Business News: EABL launches Sh20m campaign - shamra.co.ke/?p=36795,2015-12-21 22:05:00+00:00,0,0
Business: EABL launches Sh20m campaign - shamra.co.ke/?p=36805,2015-12-21 22:01:00+00:00,0,0
Business News: EABL launches Sh20m campaign - shamra.co.ke/?p=36795,2015-12-21 22:01:00+00:00,0,0
RT https://nitter.catsarch.com/africayaa/status/679052716476268544 Business News: EABL launches Sh20m campaign - africayaa.com/business/87346…,2015-12-21 21:36:00+00:00,0,0
Business News: EABL launches Sh20m campaign - africayaa.com/business/87346…,2015-12-21 21:35:00+00:00,0,0
@MauriceKilbride @StvRav @JoRyanAC @neilgiller @andrewoverman you vs me in #EABL,2015-12-21 20:39:00+00:00,0,1
"""Business News: EABL launches Sh20m campaign bit.ly/1QG5wUE News: eabl-launches-sh20m-campaign #StandardBusiness""",2015-12-21 19:17:00+00:00,0,0
"""Business: EABL launches Sh20m campaign bit.ly/1QG5wUE: eabl-launches-sh20m-campaign #StandardBusiness""",2015-12-21 19:17:00+00:00,0,0
Business News: EABL launches Sh20m campaign bit.ly/1QG5wUE News: eabl-launches-sh20m-campaign #StandardBusiness,2015-12-21 19:10:00+00:00,0,0
Business: EABL launches Sh20m campaign bit.ly/1QG5wUE: eabl-launches-sh20m-campaign #StandardBusiness,2015-12-21 19:10:00+00:00,0,0
Feliz y despeinada💘😂,2015-12-21 16:53:00+00:00,1,0
#EABL shares down by 0.93 at UgShs 9036.52,2015-12-21 13:00:00+00:00,0,0
Player of the week awards: we are proud of everyone doing well from Brits Abroad to the EABL ow.ly/WaqIK,2015-12-21 12:15:00+00:00,0,0
