text,date,No_of_likes,No_of_tweets
This was a strategic location for EABL to advertise their Pilsner Lager offers. #Billboards #OOH,2022-07-18 08:20:00+00:00,0,0
@EABL_PLC bring back Pilsner 7!,2022-06-12 16:52:00+00:00,0,0
"Bro, kama ulikunywa pilsner, ulikunywa expired bro. 😂😂😂. Who even drinks pilsner in 2022?",2022-05-15 21:39:00+00:00,2,1
@EABL_PLC any chance of Returning the Pilsner Ice Beer brand,2022-05-07 10:05:00+00:00,0,0
Fingerprints @Lane8music and pilsner @EABL_PLC for breakfast. LONG WEEKEND BEGINS TODAY!!🍻⛱️ 🇰🇪,2022-04-28 03:37:00+00:00,0,1
"Distribution trucks that were supplied to Allsopps brand in 1973. That Allsopps company, started by William Bill in 1937, was later bought by @EABL_PLC . Allsopps produced brands like Allsopps, Pilsner and White Cap. #EABLat100MediaDay",2022-04-26 09:22:00+00:00,7,0
"The beer bottles of 1984. White cap, Tusker and Pilsner. @EABL_PLC #EABLat100MediaDay",2022-04-26 09:10:00+00:00,0,0
EABL should bring back Pilsner Ice asap.,2022-03-10 10:25:00+00:00,1,3
Did you know that over 70% of eabl Beers consumed in western province is from Uganda where a crate of tusker  and Pilsner goes for a wholesale price of around Ksh.1990 to 2100?the only visible difference from our me Kenyan product is the bottle top colour and eabl postal address!,2022-01-18 07:19:00+00:00,1,0
CAN THE @EABL_PLC urgently respond to this? An isolated case or a contamination issue of the the Pilsner brand? @KenyaBreweries @KEBS_ke #ConsumerVoice,2021-10-29 15:15:00+00:00,1,0
"3/3-Thread #UBLat75 Today, @PilsnerLagerUg is a vibrant player within UBL’s mainstream beer category.  For the first time in 2020, Pilsner Lager won a silver quality medal in the renowned Monde Selection. #UBLGrowingUganda @JulzKagwa @EABL_PLC @Diageo_News @UgandaBreweries",2021-10-28 11:30:00+00:00,5,0
EABL should give you a crate of pilsner @EABL_PLC my love is the lion in it too @Bill_Kym,2021-10-24 13:41:00+00:00,1,1
"Whichever EABL beer you love drinking, don't shift to Pilsner at any point, you'll never go back to your previous choice of beer.",2021-10-24 11:25:00+00:00,27,5
Niaje @EABL_PLC. Thanks for creating economic opportunities thro your manufacturing business. I do enjoy pilsner beer brand. I run a marketing & advertising powerhouse. We help brands like yourselves to penetrate to markets that other ad channels cannot.,2021-10-18 12:05:00+00:00,1,1
@PilsnerKe TODAY AS A GHETTO RADIO FAN AT KAGINA HORNBIL BURU BURU THE EVENT WAS VERY SUCCESSFUL THE BAND WOOOOOOOUUUW. CHECK IT OUT. WHAT AN AMAZING JOB. SIMAMA IMARA SIMBA PILSNER NA KAA LOCKED IN GHETTO RADIOOOOOO.🤜🤛☑️💯💣👏CONGRATS TO EABL AND GHETTO RADIO. ⚡🔥,2021-08-21 18:28:00+00:00,0,0
"@KenyaBreweries @EABL_PLC   I bought a six pack of pilsner, which is foaming excessively on opening, even after the cans have rested for two days. What could be the problem?",2021-06-26 19:51:00+00:00,0,0
Thought we'd canceled EABL bro for keroche😂 ? but tusker too iko sawa..  Pilsner baridi goes straight to my heart.. Refreshing,2021-06-22 18:18:00+00:00,0,0
@EABL_PLC  pilsner 7 mlipeleka wapi 😬😢,2021-05-28 05:44:00+00:00,1,1
Pilsner sio ya Eabl? It's #BoycottEABL. Apewe Summit nne.,2021-03-28 13:48:00+00:00,12,2
"Brands by EABL Kenya's can never boycott  Guinness, Tusker ,Pilsner, WhiteCap, Guarana . #BoycottEABL",2021-03-28 04:36:00+00:00,0,1
"Keg is from EABL, ni mix ya remnants za bia zote - pilsner, tusker, whitecap, and the rest.",2021-03-27 17:48:00+00:00,1,0
"@EABL_PLC hi guys. Remember the Pilsner Pool Competition and Tusker Dart Game? When this hell is over, would y'all consider rebooting them? One time for the one time. 👀 @KenyaBreweries",2021-03-16 18:32:00+00:00,0,0
"My dad was one of the semi finalists for the Pilsner Mfalme pool competition, some years ago. I wonder why eabl stopped doing that. Just like coca cola caravan was stopped, used to be fun.",2021-03-16 18:26:00+00:00,2,1
A crate of tusker/pilsner and Guinness retails at ksh 1890/- in Uganda na site ni za EABL,2021-02-14 18:02:00+00:00,0,0
EABL should bring back Pilsner Ice,2021-02-10 23:45:00+00:00,0,0
Still never found a beer a good as Pilsner Ice. Bring it back @EABL_PLC.,2021-01-22 14:08:00+00:00,0,0
Mbona pilsner huwa haikui marketed na beer zingine za EABL?,2021-01-16 17:16:00+00:00,0,0
Changamkia bei poa ya vyinyuaji  upendavyo kutoka EABL uki-chill na Mbogi yako kwa kajoint. Pata Pilsner Lager kwa shillingi 140/- pekee. #TujiNice Responsibly.,2020-12-22 13:30:00+00:00,5,1
Pilsner is top tier beer🍻 @EABL_PLC,2020-11-21 19:34:00+00:00,1,0
Pilsner has a long neck too thanks @EABL_PLC,2020-11-15 13:05:00+00:00,0,0
😹 although tea is of course Chinese originally   EABL’s Pilsner Lager is named after a Czech town/brew  https://kafkadesk.org/2019/04/08/what-are-the-most-famous-czech-brands-and-companies-in-the-world/,2020-09-26 04:41:00+00:00,26,5
Ni pilsner. No one fucks with eabl pilsners in this country.,2020-04-23 17:22:00+00:00,0,0
Do you know why EABL phased out Pilsner Ice?,2020-04-20 07:32:00+00:00,0,1
Busaa and chang'aa are only illicit coz the gov't won't legitimize them. They're the same with the konyagis and kegs/beers pple consume in pubs. If busaa has broken families then pilsner/tusker has done worse but u won't see EABL being harassed bcoz 'alcohol has ruined lives',2020-04-12 07:24:00+00:00,7,1
WhiteCap and Pilsner used to be made by the  Allsops Brewery which was later acquired by EABL https://www.nation.co.ke/news/Allsops-Brewery-deserved-honour-and-not-ruin/1056-4996240-h89qm8z/index.html,2020-01-22 12:09:00+00:00,1,0
"That was my initial defense. I thought about Unilever's many products - detergents, juices, cooking fat etc. However, that is not line extension. EABL many be trading in vodkas and whiskeys, but the brand name tusker or white cup or pilsner is not used on them",2020-01-21 09:05:00+00:00,0,1
The arrogance of EABL employees marketing Pilsner and Guinness will make the two brands  meet the same fate as Softa.https://www.businessdailyafrica.com/corporate/End-of-an-era-as-Kenyan-firm-that-took-on-Coca-Cola-exits-market/539550-3462672-mqfwkfz/index.html.  These people who killed Softa and are busy killing local industries think through the gun they can lead us. Never met blinder people.,2019-12-24 15:31:00+00:00,1,0
.but i have seen keroche beers in tusker n eabl bottles. There was a time they even got lazy and didnt remive the pilsner label... they just branded over it,2019-12-22 07:08:00+00:00,1,1
@EABL_PLC rudisheni Pilsner Ice asap,2019-11-04 11:03:00+00:00,0,0
So EABL no longer produces Pilsner ama?,2019-10-26 18:58:00+00:00,0,0
Lakini @EABL_PLC mnapanga kufanya event ya Pilsner lini tuwashow venye kunaendanga? Hii wave ya whitecap ni ka tu ya gengetone...itaisha tu,2019-10-22 17:16:00+00:00,0,2
“Tusker and Pilsner are both brewed by EABL so no difference”,2019-08-31 07:48:00+00:00,25,1
"Y'all people can stick it on EABL by supporting Keroche. Ignore Tusker, Pilsner and White Cap, It's gonna be a Summit Census weekend.",2019-08-23 08:10:00+00:00,0,0
"In solidarity with Tabitha Karanja, I hereby call upon my fellow guzzlers to boycott all products of EABL( Guinness, tusker, White Cap, pilsner, KC, etc). Let's embrace our very own, let's embrace Summit lager. I hereby pledge my unconditional support to Keroche breweries.",2019-08-23 06:04:00+00:00,8,1
Pilsner ni chakula,2019-08-17 13:11:00+00:00,0,0
Sisi watu wako pilsner hatutawahi kuwa na offer? @EABL_PLC,2019-08-17 13:03:00+00:00,1,2
"Hi @EABL_PLC , after 4 different pubs in 2 days, no Pilsner #Thirst",2019-07-20 15:20:00+00:00,0,0
Bring back Pilsner Ice @EABL_PLC,2019-07-19 14:35:00+00:00,0,0
"Nilianza kunywa nikiwa 14, the first beer i bought myself at that age was a pilsner. Maybe we need to deregister EABL pia.",2019-07-16 08:58:00+00:00,1,0
Let me just keep quiet and continue supporting eabl produce more pilsner juu wewe umekuwa tuu bitch...,2019-06-22 06:51:00+00:00,0,1
@EABL_PLC Bring back Pilsner Ice. Introduce Balozi cans. Tusker isn't doing so good lately. Is it?,2019-05-15 11:22:00+00:00,0,0
yo @EABL_PLC this how corporates are rolling. how many RTs for you to bring back Pilsner Blue Ice?🙏🙏,2019-05-06 10:12:00+00:00,0,0
@OfficialEABL Hey EABL. Just giving out some feedback on the current taste of Pilsner Lager. Tastes too much sugar. Thankyou.,2019-04-20 15:08:00+00:00,0,0
Tusker. Tusker export. Guinness. Pilsner. WhiteCap. The grand old KBL beers. Survived all the waves. If eabl wanted WhiteCap for cool kids why not introduce WhiteCap Lite and gentrify it to death?,2019-04-01 11:28:00+00:00,5,3
The Bible (eabl) says you should not be UNEQUALLY (Tusker) yoked to a non believer (Vashti) but did you know you can be UNEQUALLY (Pilsner) yoked to a believer (Mordecai) - ESTHER White sermon,2019-01-07 09:13:00+00:00,0,0
07:43 FYI Allsops is where the then EABL used to brew Allsops lager and Pilsner and it had a really pungent smell. They later closed down the plant & moved it to their present location near Ngumba and donated that place to the police service via @kirundiray,2018-11-22 04:43:00+00:00,0,0
@Ma3Route FYI Allsops is where the then EABL used to brew Allsops lager and Pilsner and it had a really pungent smell. They later closed down the plant & moved it to their present location near Ngumba and donated that place to the police service,2018-11-22 04:42:00+00:00,0,0
“Pilsner” wapi EABL? @K1N5H,2018-11-01 12:14:00+00:00,0,0
"Why are you worried about their OPEX? 🤔 Do you worry about whether Airtel will make money on your call? Or if EABL sells Pilsner at a loss? As long as KPLC pays USc12/kW without any upfront investment risk or downpayment, then it's all good!",2018-10-18 10:15:00+00:00,0,2
"EABL is bringing the whole family around. So all the Tuskers; Tusker Kawaida, Tusker Keg, Tusker Lite, Tusker Malt & Tusker Cider.   They are also bringing Senator, Pilsner, Balozi, Alsops and Guinness.   But the star of their show will be a new beer they're introducing to Kenya",2018-09-22 11:45:00+00:00,2,1
And to think white cap never advertise on such its always tusker pilsner guinness and the likes from eabl,2018-03-19 19:18:00+00:00,0,0
"Pilsner Ice was the real drink manze, kwani kuliendaje ikatoka market? @eabl",2018-02-25 15:11:00+00:00,0,0
