text,date,No_of_likes,No_of_tweets
Btw mtafte pesa watu wangu. Dark si Guinness na clear si Tusker! Enjoy premium beer! Alafu @EABL_PLC mfanye mambo pia nyinyi 😂,2023-11-25 19:40:00+00:00,0,0
"Experiential Marketing Campaign of The Year  2nd Runner-up: @EABL_PLC, @Its_YellowMoon - Unmistakably Tanquery  1st Runner-up: @EABL_PLC Tusker Nexters   Winner: @EABL_PLC @ydxagencyke - Johnnie Walker ""Walker Town""  #MSKAwardsGala2023",2023-11-24 19:21:00+00:00,2,1
Eabl can't give us the final Tusker Project Fame yaani???,2023-11-20 19:15:00+00:00,1,0
First sip of this Tusker is just it. Moving away from Whitecap. #eabl #InternationalMensDay,2023-11-19 15:32:00+00:00,0,0
Does @EABL_PLC still make Tusker Premium Ale?,2023-11-19 10:46:00+00:00,0,0
@EABL_PLC Are we having Tusker Project Fame any time soon? That program used to be entertaining,2023-11-18 00:00:00+00:00,0,0
My beloved @tusker_fc i hope wanaskia. Waliniambia niendee EABL 😭,2023-11-16 09:01:00+00:00,2,1
"Waliongeza tax ya Tusker … EABL bottom line was hit , laid off  employees across … Paid less taxes , GoK also lost PAYE and other taxes from fired employees",2023-11-15 07:21:00+00:00,8,1
"Hizo team mnasupport I hope zitawaita end year party yao, mi najua ya Tusker tutaingia pale EABL na ya Nzoia tunaingia Bukembe kula Zebu. AFC ata hawanijui waishie",2023-11-14 09:45:00+00:00,1,0
"Hello. You can visit our office in Ruaraka, EABL behind Garden city mall or if in town visit Urban apparels shop besides Nairobi Sports house. Contact Charles (Ruaraka)  on 0720245551 and Haron(Nairobi cbd) 0721419099. Costs 1500",2023-11-12 15:50:00+00:00,25,0
Oyaaa @tusker_fc don't just 30% of that (Ksh.5M) is enough to renovate 1. Ruaraka playing surface 2. Washrooms 3. Put up changing rooms 4. Add a few stands @Officialfkfpl deserves better @tuskerlite @EABL_PLC #FootballKE,2023-11-08 14:12:00+00:00,2,0
"EABL through Tusker are giving KRU 15M for both Victoria Cup and Safari Sevens, very little lakini mnyonge hana lake",2023-11-08 10:50:00+00:00,5,1
Tumewapiga Mlikuja game mkiwa na EABL products 😂mkapata ni Mwangi wa iria,2023-11-05 14:08:00+00:00,2,0
"Kama team Yako. KAZI ni kuorganize Amazing festivals, but ku-urge Team ilete good points, na A proper game, is where they ( EABL : Tusker) draw the line,)  #FootballKE",2023-11-02 19:09:00+00:00,3,1
"EABL hardly advertises but kids as young as 11 still have access to alcohol,some of these hoods r death traps with readily available cheap liquor!there's a tusker ard that used to run""mbili mbili kama kawaida tusker export at whatever time but I never saw alcohol nowhere in RL!",2023-10-29 20:25:00+00:00,0,0
Please tell me what this is?  For real I do not attend EABL events because mimi unless nilipwe per sip siwezi kunywa tusker cider.,2023-10-29 17:20:00+00:00,3,0
