text,date,No_of_likes,No_of_tweets
"Headlines: ""Ruto declares war on EABL. Beer ni Balozi"" 😜",2022-01-27 06:09:00+00:00,1,0
...Balozi should be the drink of peace this electioneering period...BALOZI wa AMANI...@EABL_PLC ..plz  note...run with this..,2022-01-26 18:11:00+00:00,3,2
Polite hapa local @balozi @EABL_PLC @TuskerLager,2022-01-01 13:43:00+00:00,0,0
"Drink to health, drink to wealth, or just drink #balozi @EABL_PLC #kenyamilele @kenyaBreweries",2021-12-07 05:21:00+00:00,4,1
Balozi hawadai Influenza 🤔?  @EABL_PLC sina kazi na iko kazi .,2021-10-17 10:39:00+00:00,0,0
I thought balozi is made by eabl,2021-09-15 21:26:00+00:00,0,0
"It's a Friday and you know how we unwind on fridays.. Order a bottle of tusker, Guinness, Johnie Walker, Balozi, White cap and all other favorite drinks by eabl at the cormfort of your home ,office or even at a sherehe. Visit partycental.co.ke order and we'll deliver.",2021-07-02 04:48:00+00:00,4,0
Keep Walking balozi,2021-06-26 10:47:00+00:00,1,0
Send me a boti you guy my guy 😂😂. Enjoy your visit balozi!,2021-06-26 07:47:00+00:00,8,1
Thank you Balozi for representing Kenya well. We are proud of u @MEsipisu and that's the home of Scotch.... @GlenkinchieMalt,2021-06-25 19:13:00+00:00,2,1
You must've had a super day Balozi. I see you enacted that Kenyan thing today - potatoes at Munyiris then off to Eureka for a tipple 😎,2021-06-25 18:29:00+00:00,3,0
@EABL_PLC why promote the RRP for balozi @ Kes 150.00 for some mandrins to extort us at Kes 200.00. Check on that please,2021-06-20 17:13:00+00:00,0,0
Infact Balozi is @Joekiash other name #BrandAmbassador,2021-06-10 14:56:00+00:00,1,0
"EABL’s beer, Balozi Lager has also been increased by Ksh. 9 with Smirnoff Black Ice and Guarana also carrying the same Ksh. 9 price change. https://sokodirectory.com/2021/06/beer-prices-increase-ahead-of-treasurys-hefty-budget-tabling/ #SokoNews",2021-06-10 12:46:00+00:00,0,0
"EABL’s beer, Balozi Lager has also been increased by Ksh. 9 with Smirnoff Black Ice and Guarana also carrying the same Ksh. 9 price change. https://sokodirectory.com/2021/06/beer-prices-increase-ahead-of-treasurys-hefty-budget-tabling/ #SokoNews",2021-06-10 12:19:00+00:00,1,0
@EABL_PLC @BaloziLager what is happening??? Kindly improve and replace all Balozi bottles.,2021-05-13 13:10:00+00:00,0,0
"@KenyaBreweries na @KerocheBrewerie what sugar free beers do have in the market? I really want to boycott EABL lakini whitecap na Balozi ni zao, Idk of any other option",2021-03-31 19:09:00+00:00,0,0
Some of y'all really think uncle Njoro wa Maua won't drink his daily dose of 1-2 cold Balozi(s) that he's been drinking for the last 35 years juu kina Shaffie were fired? And that hashtag has brought down EABL stocks for the last 2 days?,2021-03-30 15:13:00+00:00,6,0
@EABL_PLC  wakikuambia ukunywe balozi Kataa hiyo🚫🚫,2021-03-28 13:43:00+00:00,1,0
Someone ti find for me kaa Balozi ni ya Keroche ama EABL?#BoycottEABL,2021-03-28 10:14:00+00:00,1,0
balozi ni ya eabl?,2021-03-28 09:50:00+00:00,1,0
Lemmi just be honest  dude... Aint gonna boycott anything just because you are misinformed.... Lazima nichape balozi yangu kwa amani😂😂😂,2021-03-28 04:58:00+00:00,0,0
"Shaffie Weru suspended from Radio Africa group, restricted from drinking Balozi beer by EABL. Brookside JAY Z Kibaki Keroche",2021-03-27 20:34:00+00:00,103,4
They don't care. It's a company that can still make niliona without the adverts. Iyo si kibanda bana. Who needs an advert to drink guinness man? Who needs an advert to drink tusker or balozi? Like seriously 😳😳,2021-03-27 17:31:00+00:00,2,2
"Seriously speaking ,i stop taking Guinness and Balozi(my favourite beer),i start taking Faxe?....Anyways what EABL said today in their statement was a big mistake.I hope their PR team tonight will ‘burn the midnight oil’.....",2021-03-27 16:40:00+00:00,2,1
Balozi☝🏾🤣,2021-03-27 10:13:00+00:00,0,0
Thanks bro...we r da balozi nation,2021-03-14 16:09:00+00:00,2,0
You deserve it man the way you made me a balozi man nowadays,2021-03-14 16:06:00+00:00,1,1
Yes I love @BaloziLager I changed all my boys club from others to balozi @EABL_PLC u owe mi,2021-03-11 12:02:00+00:00,1,0
"Same here, can't stand most beers at all anymore, especially Tusker. I find that Balozi is easier on the gut than White Cap.",2021-02-18 09:14:00+00:00,0,1
Balozi is where it's at. Or maybe I'm just getting old. 🤷🏾‍♂️,2021-02-18 05:38:00+00:00,0,1
"I've just learnt & confirmed that @KenyaBreweries new brand of ""WhiteCap Lager"" with the label ""No Added Sugar"" is a BIG LIE. The drink actually has sugar, unlike their ""Balozi"" beer. Over to you, KEBS, please act!! @RobertAlai @EABL_PLC @WhiteCapLager",2021-01-27 12:29:00+00:00,0,0
Balozi is an alcoholic beverage made by EABL...,2021-01-20 10:08:00+00:00,0,0
"@EABL_PLC what's happening to your Balozi brand? You open it, it overflows..is it too much carbon? Is it safe for consumption? @CofekRebranded please help! @Ma3Route",2021-01-15 17:26:00+00:00,2,0
Why you salty? I'll hook you up as long as you call your kiddo Balozi. That way we can swap beers on birthdays and other occasions. 😂😂😂😂,2020-12-22 06:14:00+00:00,1,1
"[Hapa Kenya] Balozi Beer is now available in a can: Kenya Breweries Limited (KBL), a subsidiary of East African Breweries Limited (EABL),has announced that its beer brand, Balozi, is now available to customers in .. https://hapakenya.com/2020/11/30/balozi-beer-is-now-available-in-a-can/ via @HapaKenya",2020-11-30 11:36:00+00:00,0,0
