text,date,No_of_likes,No_of_tweets
Tusker Project Fame  Daisy's new Single; DAISY_LADY_Master.mp3 - drive.google.com/file/d/0B41… @912CroozeFM @97fmRadiocity @CapitalFM_kenya @XfmUG,2013-12-17 07:58:00+00:00,0,0
Tusker Project Fame  Daisy;s new Single; DAISY_LADY_Master.mp3 - https://drive.google.com/file/d/0B41F1M-Alie4VG54VW9MTjZWR1NWUExyVXgtaWlrYUV5bUZv/edit?usp=sharing,2013-12-17 07:56:00+00:00,0,0
"The Song ""Lady"" by the Ug Tusker Project fame contestant; Ejang Daisy Hope is Killer!! The Mix of soft rock and... fb.me/2le7SUYSX",2013-12-17 07:17:00+00:00,0,0
Abt to encourage this dude to go try tusker project fame or all stars jst so he can get t from the judges tht his music is the worst!!,2013-12-16 22:04:00+00:00,1,0
"Tusker Project Fame 5 Auditions - Mombasa, Dar es Salaam and Arusha. (Part 3) wp.me/p28jFq-Ob",2013-12-16 13:19:00+00:00,0,0
[KACHWANYA] Twende Kazi with Tusker.Mobi:   Tusker Project Fame is gone and so everyb... bit.ly/1dFOAGZ via @kachwanya,2013-12-16 11:47:00+00:00,0,0
What do you miss most? Big Brother Africa or Tusker Project Fame?,2013-12-16 11:42:00+00:00,0,2
Hope Irakoze wins Tusker Project Fame 6: Burundi's Hope Irakoze is the winner of the… goo.gl/fb/Zxhaa #Kenya,2013-12-15 11:15:00+00:00,0,0
"@dennisokeyo @kenyafootball they should try the services of endemol limited, the producers of tusker project fame and big brother africa",2013-12-15 07:21:00+00:00,0,2
CAN NTV’S TALENT XP HAVE AN EDGE OVER TUSKER PROJECT FAME? divaawardsafrika.com/11-news… @DouglasLwangaUg @CNYMC @ssentongohassan @hiseanice,2013-12-15 03:57:00+00:00,0,0
@ntvuganda @BabyKisti @mckatsug @@JackieChandiru CAN NTV’S TALENT XP HAVE AN EDGE OVER TUSKER PROJECT FAME? divaawardsafrika.com/11-news…,2013-12-15 03:43:00+00:00,0,0
CAN NTV’S TALENT XP HAVE AN EDGE OVER TUSKER PROJECT FAME? divaawardsafrika.com/11-news…,2013-12-15 03:40:00+00:00,0,0
"I won 10,000 shillings during tusker project fame and I used it all,,,, naomba nisitafutwe",2013-12-14 12:46:00+00:00,0,0
@wariogalgallo @ababunamwamba @arerowario @offsyid why was he at Tusker Project Fame if he's a staunch Muslim?,2013-12-14 11:09:00+00:00,0,0
Famous Minutes: Samantha (Tusker Project Fame 5): tube.mint.lgbt/CTRbO_bTiEY via @youtube,2013-12-14 08:15:00+00:00,0,0
"I posted 18 photos on Facebook in the album ""Tusker Project Fame 6"" fb.me/V6rC9Tf8",2013-12-13 07:16:00+00:00,1,0
Tusker Project Fame 6 Opening Gala Set for Sunday bit.ly/1aAHZMb #TV,2013-12-13 07:11:00+00:00,0,0
"I posted 30 photos on Facebook in the album ""Tusker Project Fame 6"" fb.me/2xlt7A2UM",2013-12-13 07:10:00+00:00,0,0
"I posted 29 photos on Facebook in the album ""Tusker Project Fame 6"" fb.me/PxOU7ZDT",2013-12-13 07:04:00+00:00,0,0
@safaricom enquiring if i can get the tusker project fame landline number for kenya contact me at 0720253881,2013-12-12 19:36:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-12 14:39:00+00:00,0,0
DAILY POST: Wow! UHURU KENYATTA’s daughter NGINA was at Tusker Project Fame … This lady is so... fb.me/6wp8LhlFf,2013-12-12 13:37:00+00:00,0,0
Uganda's Daisy impressive at Tusker Project Fame Season 6 despite failing to win crown  See details at:... fb.me/2yL4fojYk,2013-12-12 12:09:00+00:00,0,0
"MSHIRIKI WA TUSKER PROJECT FAME ATEMBELEA MJENGONI LEO,ASEMA ANAMKUBALI WEMA SEPETU KATIKA FILAMU ZA BONGO.... fb.me/28RoW87gP",2013-12-12 11:06:00+00:00,1,0
@kenyanzulu ya nini choreography?  Kwani hii ni Tusker Project Fame?,2013-12-12 10:00:00+00:00,0,0
#Rwanda Is TPF becoming East Africa’s Project shame?   This year’s edition of Tusker Project Fame had its grand... fb.me/2aARQH4CE,2013-12-12 08:50:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-12 02:04:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 23:09:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 22:52:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 22:45:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 22:00:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 18:41:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 16:39:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 16:15:00+00:00,0,0
DAILY POST: PHOTOs of RUTH MATETE&#8217;s car which she bought with the Tusker project Fame MONEY: kenyan-post.com/2013/12/phot…,2013-12-11 15:42:00+00:00,0,0
Patricia Kihoro in a Kidosho top as she performed at the Tusker Project Fame Finale. fb.me/6BcaAbsOr,2013-12-11 15:06:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 14:25:00+00:00,0,0
Juliana Kanyomozi* showing off some skin n curves...at the Tusker Project Fame Grand Finale #TPF6 fb.me/2xjxJcNcJ,2013-12-11 14:24:00+00:00,0,0
Former Tusker Project Fame contestant says competition is a three-horse race #Rwanda rwandashow.com/celeb/4891/fo…,2013-12-11 12:38:00+00:00,0,0
